Section,Discription,Bail,Punishment,Triable_By,Congizance,Unnamed: 7,Offence
IPC Section 379,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Non-Bailable,3 Years or Fine or Both,Any Magistrate,Cognizable,,Theft
IPC Section 388,"Whoever commits extortion by putting any person in fear of an accusation against that person or any other, of having committed or attempted to commit any offence punishable with death, or with imprisonment for life, or with imprisonment for a term which may extend to ten years, or of having attempted to induce any other person to commit such offence, shall shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine;","
Bailable
Bailable
","
10 Years + Fine.
Imprisonment for Life
","
Magistrate First Class
Magistrate First Class
","
Cognizable
Cognizable
",,"
Extortion by threat of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 Years.
If the offence threatened be an unnatural offence
"
IPC Section 389,"Whoever, in order to the committing of extortion, puts or attempts to put any person in fear of an accusation, against that person or any other, of having committed, or attempted to commit, an offence punishable with death or with imprisonment for life, or with imprisonment for a term which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine;","
Bailable
Bailable
","
10 Years + Fine
Imprisonment for Life
","
Magistrate First Class
Magistrate First Class
","
Cognizable
Cognizable
",,"
Putting a person in fear of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 Years in order to commit extortion.
If the offence be an unnatural offence
"
IPC Section 392,"Whoever commits robbery shall be punished with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine; and, if the robbery be committed on the highway between sunset and sunrise, the imprisonment may be extended to fourteen years.","
Non-Bailable
Non-Bailable
","
Rigorous Imprisonment for 10 Years + Fine
Rigorous Imprisonment for 14 Years + Fine
","
Magistrate First Class
Magistrate First Class
","
Cognizable
Cognizable
",,"
Robbery
If committed on the highway between sunset and sunrise
"
IPC Section 403,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation related to Section 403 of the Indian Penal Code. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Bailable,2 Years or Fine or Both,Any Magistrate,Non-Cognizable,,"Dishonest misappropriation of movable property, or converting it to one? own use"
IPC Section 404,"Whoever dishonestly misappropriates or converts to his own use property, knowing that such property was in the possession of a deceased person at the time of that person? decease, and has not since been in the possession of any person legally entitled to such possession, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine, and if the offender at the time of such person? decease was employed by him as a clerk or servant, the imprisonment may extend to seven years.","
Bailable
Bailable
","
3 Years + Fine
7 Years + Fine
","
Magistrate First Class
Magistrate First Class
","
Non-Cognizable
Non-Cognizable
",,"
Dishonest misappropriation of property, knowing that it was in possession of a deceased person at his death, and that it has not since been in the possession of any person legally entitled to it
If by clerk or person employed by deceased
"
IPC Section 405,,,,,,,
IPC Section 406,,Non-Bailable,3 Years or Fine or Both,Magistrate First Class,Cognizable,,Criminal breach of trust
IPC Section 407,,Non-Bailable,7 Years + Fine,Magistrate First Class,Cognizable,,"Criminal breach of trust by a carrier, wharfinger, etc."
IPC Section 408,,Non-Bailable,7 Years + Fine,Magistrate First Class,Cognizable,,Criminal breach of trust by a clerk or servant
IPC Section 409,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Magistrate First Class,Cognizable,,"Criminal breach of trust by public servant or by banker, merchant or agent, etc."
IPC Section 410,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",,,,,,
IPC Section 411,,Non-Bailable,3 Years or Fine or Both,Any Magistrate,Cognizable,,Dishonestly receiving stolen property knowing it to be stolen
IPC Section 412,,Non-Bailable,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,Court of Session,Cognizable,,"Dishonestly receiving stolen property, knowing that it was obtained by Dacoity"
IPC Section 413,,Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable,,Habitually dealing in stolen property
IPC Section 414,"Whoever voluntarily assists in concealing or disposing of or making away with property which he knows or has reason to believe to be stolen property, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Non-Bailable,"3 Years, or Fine, or Both",Any Magistrate,Cognizable,,"Assisting in concealment or disposal of stolen property, knowing it to be stolen"
IPC Section 415,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",,,,,,
IPC Section 416,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",,,,,,
IPC Section 417,"Whoever cheats shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",Bailable,1 Year or Fine or Both,Any Magistrate,Non-Cognizable,,Cheating
IPC Section 418,"Whoever cheats with the knowledge that he is likely thereby to cause wrongful loss to a person whose interest in the transaction to which the cheating relates, he was bound either by law, or by legal contract, to protect, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Bailable,3 Years or Fine or Both,Any Magistrate,Non-Cognizable,,"Cheating a person whose interest the offender was bound, either by law or by legal contract, to protect"
IPC Section 419,"Whoever cheats by personation shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Bailable,3 Years or Fine or Both,Any Magistrate,Cognizable,,Cheating by personation
IPC Section 420,,Non-Bailable,7 Years + Fine,Magistrate First Class,Cognizable,,"Cheating and there by dishonestly inducing delivery of property, or the making, alteration or destruction of a valuable security"
IPC Section 421,,Bailable,2 Years or Fine or Both,Any Magistrate,Non-Cognizable,,"Fraudulent removal or concealment of property etc., to prevent distribution among creditors"
IPC Section 422,,Bailable,2 Years or Fine or Both,Any Magistrate,Non-Cognizable,,Fraudulently preventing from being made available for his creditors a debt or demand due to the offender
IPC Section 423,"Whoever dishonestly or fraudulently signs, executes or becomes a party to any deed or instrument which purports to transfer or subject to any charge any property, or any interest therein, and which contains any false statement relating to the consideration for such transfer or charge, or relating to the person or persons for whose use or benefit it is really intended to operate, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Non-Cognizable,,Fraudulent execution of deed of transfer containing a false statement of consideration
IPC Section 424,"Whoever dishonestly or fraudulently conceals or removes any property of himself or any other person, or dishonestly or fraudulently assists in the concealment or removal thereof, or dishonestly releases any demand or claim to which he is entitled, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Non-Cognizable,,"Fraudulent removal or concealment of property of himself or any other person or assisting in the doing thereof, or dishonestly releasing any demand or claim to which he is entitled"
IPC Section 425,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",,,,,,
IPC Section 426,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Bailable,3 Months or Fine or Both,Any Magistrate,Non-Cognizable,,Mischief
IPC Section 427,,Bailable,2 Years or Fine or Both,Any Magistrate,Non-Cognizable,,"Complaint for IPC Section 427
To,
The Station House Officer,
[Police Station Name],
[Address],
[City, State, ZIP Code]

Subject: Complaint for Mischief causing damage to property

Respected Sir/Madam,

I, [Your Name], residing at [Your Address], am filing this complaint regarding an incident that occurred on [Date of Incident] at [Time of Incident]. This incident involves mischief causing damage to property, as outlined under Section 427 of the Indian Penal Code.

Description of the Incident:
On the aforementioned date and time, I, along with several witnesses, observed an individual, identified as [Name(s) of the accused, if known], committing mischief by causing damage to property at [location]. The accused engaged in this unlawful act by [describe the actions or damage caused constituting mischief]. The accused's actions resulted in damage to [describe the property affected] [provide details of any statements made or actions observed that indicate the intent]. Additionally, please include any pertinent contextual information such as the extent of the damage, any prior disputes, and any witnesses to the incident."
IPC Section 428,"Whoever commits mischief by killing, poisoning, maiming or rendering useless any animals or animal of the value of the ten rupees or upwards, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable,,"Complaint for IPC Section 428
To,
The Station House Officer,
[Police Station Name],
[Address],
[City, State, ZIP Code]

Subject: Complaint for Mischief by killing or maiming animal of the value of ten rupees

Respected Sir/Madam,

I, [Your Name], residing at [Your Address], am filing this complaint regarding an incident that occurred on [Date of Incident] at [Time of Incident]. This incident involves mischief by killing or maiming an animal of the value of ten rupees, as outlined under Section 428 of the Indian Penal Code.

Description of the Incident:
On the aforementioned date and time, I, along with several witnesses, observed an individual, identified as [Name(s) of the accused, if known], committing mischief by killing or maiming an animal of the value of ten rupees at [location]. The accused engaged in this unlawful act by [describe the actions or harm caused to the animal]. The accused's actions resulted in the killing or maiming of the animal [provide details of any statements made or actions observed that indicate the intent]. Additionally, please include any pertinent contextual information such as the condition of the animal, any prior disputes, and any witnesses to the incident."
IPC Section 429,"Whoever commits mischief by killing, poisoning, maiming or rendering useless, any elephant, camel, horse, mule, buffalo, bull, cow or ox, whatever may be the value thereof, of any other animal of the value of fifty rupees or upwards, shall be punished with imprisonment or either description for a term which may extend to five years, or with fine, or with both.",Bailable,5 Years or Fine or Both,Magistrate First Class,Cognizable,,"Mischief by killing poisoning maiming or rendering useless any elephant, camel, horse, etc., whatever may be its value or any other animal of the value of 50 rupees or upwards"
IPC Section 430,"Whoever commits mischief by doing any act which causes, or which he knows to be likely to cause, a diminution of the supply of water for agricultural purposes, or for food or drink for human beings or for animals which are property, or for cleanliness or for carrying on any manufacture, shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both.",Bailable,5 Years or Fine or Both,Magistrate First Class,Cognizable,,"Mischief by causing diminution of supply of water for agricultural purposes, etc."
IPC Section 431,"Whoever commits mischief by doing any act which renders or which he knows to be likely to render any public road, bridge, navigable river or navigable channel, natural or artificial, impassable or less safe for travelling or conveying property, shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both.",Bailable,5 Years or Fine or Both,Magistrate First Class,Cognizable,,"Mischief by injury to public road, bridge, navigable river, or navigable channel and rendering it impassable or less safe for travelling or conveying property"
IPC Section 432,"Whoever commits mischief by doing any act which causes or which he knows to be likely to cause an inundation or an obstruction to any public drainage attended with injury or damage, shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both.",Bailable,5 Years or Fine or Both,Magistrate First Class,Cognizable,,Mischief by causing inundation or obstruction to public drainage attended with damage
IPC Section 433,"Whoever commits mischief by destroying or moving any light-house or other light used as a sea-mark, or any sea-mark or buoy or other thing placed as a guide for navigators, or by any act which renders any such light-house, sea-mark, buoy or other such thing as aforesaid less useful as a guide for navigators, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.",Bailable,7 Years or Fine or Both,Magistrate First Class,Cognizable,,"Mischief by destroying or moving or rendering less useful a lighthouse or sea-mark, or by exhibiting false lights"
IPC Section 434,"Whoever commits mischief by destroying or moving any land-mark fixed by the authority of a public servant, or by any act which renders such land-mark less useful as such, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",Bailable,1 Year or Fine or Both,Any Magistrate,Non-Cognizable,,"Mischief by destroying or moving, etc., a landmark fixed by public authority"
IPC Section 435,"Whoever commits mischief by fire or any explosive substance intending to cause, or knowing it to be likely that he will thereby cause, damage to any property to the amount of one hundred rupees or upwards or (where the property is agricultural produce) ten rupees or upwards, shall be punished with imprisonment of either description for a term which may extend to seven years and shall also be liable to fine.",Bailable,7 Years + Fine,Magistrate First Class,Cognizable,,"Mischief by fire or explosive substance with intent to cause damage to an amount of 100 rupees or upwards, or, in case of agricultural produce, 10 rupees or upwards"
IPC Section 436,"Whoever commits mischief by fire or any explosive substance, intending to cause, or knowing it to be likely that he will thereby cause the destruction of any building which is ordinarily used as a place of worship or as a human dwelling or as a place for the custody of property, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,"Imprisonment for Life, or 10 Years + Fine",Court of Session,Cognizable,,Mischief by fire or explosive substance with intent to destroy house etc.
IPC Section 437,"Whoever commits mischief to any decked vessel or any vessel of a burden of twenty tons or upwards, intending to destroy or render unsafe, or knowing it to be likely that he will thereby destroy or render unsafe, that vessel, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,10 Years + Fine,Court of Session,Cognizable,,Mischief with intent to destroy or make unsafe A decked vessel or a vessel of 20 tones burden
IPC Section 438,"Whoever commits, or attempts to commit, by fire or any explosive substance, such mischief as is described in the last preceding section. shall be punished with imprisonment for life. or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable,,The mischief described in the last section when committed by fire or any explosive substance
IPC Section 439,"Whoever intentionally runs any vessel aground or ashore, intending to commit theft of any property contained therein or to dishonestly misappropriate any such property, or with intent that such theft or misappropriation of property may be committed, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,10 Years + Fine,Court of Session,Cognizable,,"Running vessel ashore with intent to commit theft, etc."
IPC Section 440,"Whoever commits mischief, having made preparation for causing to any person death, or hurt, or wrongful restraint, or fear of death, or hurt, or of wrongful restraint, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine.",Bailable,5 Years + Fine,Magistrate First Class,Cognizable,,"Mischief committed after preparation made for causing death, or hurt, etc."
IPC Section 441,,,,,,,
IPC Section 442,,,,,,,
IPC Section 443,,,,,,,
IPC Section 444,,,,,,,
IPC Section 445,,,,,,,
IPC Section 446,,,,,,,
IPC Section 447,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Bailable,3 Months or Fine or Both,Any Magistrate,Cognizable,,Criminal trespass
IPC Section 448,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Bailable,1 Year or Fine or Both,Any Magistrate,Cognizable,,House-trespass
IPC Section 449,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Non-Bailable,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,Court of Session,Cognizable,,House-trespass in order to the commission of an offence punishable with death
IPC Section 450,,Non-Bailable,10 Years + Fine,Court of Session,Cognizable,,House-trespass in order to the commission of an Offence punishable with imprisonment for life
IPC Section 451,,"
Bailable
Non-Bailable
","
2 Years + Fine
7 Years + Fine
","
Any Magistrate
Any Magistrate
","
Cognizable
Cognizable
",,"
House-trespass in order to the commission of an Offence punishable with imprisonment
If the offence is theft
"
IPC Section 452,,Non-Bailable,7 Years + Fine,Any Magistrate,Cognizable,,"House-trespass, having made preparation for causing hurt, assault, etc."
IPC Section 453,,Non-Bailable,2 Years + Fine,Any Magistrate,Cognizable,,Lurking house trespass or house-breaking
IPC Section 454,,"
Non-Bailable
Non-Bailable
","
3 Years + Fine
10 Years + Fine
","
Any Magistrate
Magistrate First Class
","
Cognizable
Cognizable
",,"
Lurking house-trespass or house-breaking in order to the commission of an offence punishable with imprisonment
If the offence be theft
"
IPC Section 455,,Non-Bailable,10 Years + Fine,Magistrate First Class,Cognizable,,"Lurking house-trespass or house-breaking after preparation made for causing hurt, assault, etc."
IPC Section 456,,Non-Bailable,3 Years + Fine,Any Magistrate,Cognizable,,Lurking house-trespass or house-breaking by night
IPC Section 457,,"
Non-Bailable
Non-Bailable
","
5 Years + Fine
14 Years + Fine
","
Magistrate First Class
Magistrate First Class
","
Cognizable
Cognizable
",,"
Lurking house-trespass or house-breaking by night in order to the commission of an offence punishable with imprisonment
If the offence is theft
"
IPC Section 458,,Non-Bailable,14 Years + Fine,Magistrate First Class,Cognizable,,"Lurking house-trespass or house-breaking by night, after preparation made for causing hurt, etc."
IPC Section 459,,Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable,,Grievous hurt caused whilst committing lurking house-trespass or house-breaking
IPC Section 460,,Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable,,"Death or grievous hurt caused by one of several persons jointly concerned in house-breaking by Night, etc."
IPC Section 461,,Non-Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable,,Dishonestly breaking Open or unfastening any closed receptacle containing or supposed to contain property
IPC Section 462,,Bailable,3 Years or Fine or Both,Any Magistrate,Cognizable,,"Being entrusted with any closed receptacle containing or supposed to contain any property, and fraudulently opening the same"
IPC Section 463,,,,,,,
IPC Section 464,,,,,,,
IPC Section 465,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Bailable,2 Years or Fine or Both,Magistrate First Class,Non-Cognizable,,Forgery
