Section,Offence,Discription,Bail,Punishment,Triable_By,Congizance
IPC Section 489A,Counterfeiting currency-notes or bank-notes,"Whoever counterfeits, or knowingly performs any part of the process of counterfeiting, any currency-note or bank-note, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable
IPC Section 489B,Using as genuine forged or counterfeit currency-notes or bank-notes,"Whoever sells to, or buys or receives from, any other person, or otherwise traffics in or uses as genuine, any forged or counterfeit currency-note or bank-note, knowing or having reason to believe the same to be forged or counterfeit, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable
IPC Section 489C,Possession of forged or counterfeit currency-notes or bank-notes,"Whoever has in his possession any forged or counterfeit currency-note or bank-note, knowing or having reason to believe the same to be forged or counterfeit and intending to use the same as genuine or that it may be used as genuine, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.",Bailable,7 Years or Fine or Both,Court of Session,Cognizable
IPC Section 489D,"Making or possessing machinery, instrument or material for forging or counterfeiting currency-notes or bank-notes","Whoever makes, or performs any part of the process of making, or buys of sells or disposes of, or has in his possession, any machinery, instrument of material for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for forging or counterfeiting any currency-note or bank-note, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable
IPC Section 489E,,,,,,
IPC Section 490,On refusal to disclose the name and address of the printer,"Repealed by the Workmen’s Breach of Contract (Repealing) Act, 1925 (3 of 1925), S. 2 and Sch.",Bailable,Fine,Any Magistrate,Non-Cognizable
IPC Section 491,"Being bound to attend on or supply the wants of a person who is helpless from youth, unsoundness of mind or disease, and voluntarily omitting to do so","Whoever, being bound by a lawful contract to attend on or to supply the wants of any person who, by reason of youth, or of unsoundness of mind, or of a disease or bodily weakness, is helpless or incapable of providing for his own safety or of supplying his own wants, voluntarily omits so to do, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to two hundred rupees, or with both.",Bailable,3 Months or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 492,,,,,,
IPC Section 493,A man by deceit causing a woman not lawfully married to him to believe that she is lawfully married to him and to cohabit with him in that belief,"Every man who by deceit causes any woman who is not lawfully married to him to believe that she is lawfully married to him and to cohabit or have sexual intercourse with him in that belief, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,10 Years + Fine,Magistrate First Class,Non-Cognizable
IPC Section 494,Marrying again during the life-time of a husband or wife,"Whoever, having a husband or wife living, marries in any case in which such marriage is void by reason of its taking place during the life of such husband or wife, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Bailable,7 Years + Fine,Magistrate First Class,Non-Cognizable
IPC Section 495,Same offence with concealment of the former marriage from the person with whom subsequent marriage is contracted,"Whoever commits the offence defined in the last preceding section having concealed from the person with whom the subsequent marriage is contracted, the fact of the former marriage, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Bailable,10 Years + Fine,Magistrate First Class,Non-Cognizable
IPC Section 496,A person with fraudulent intention going through the ceremony of being married knowing that he is not thereby lawfully married,"Whoever, dishonestly or with a fraudulent intention, goes through the ceremony of being married, knowing that he is not thereby lawfully married, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Bailable,7 Years + Fine,Magistrate First Class,Non-Cognizable
IPC Section 497,Adultery,"Whoever has sexual intercourse with a person who is and whom he knows or has reason to believe to be the wife of another man, without the consent or connivance of that man, such sexual intercourse not amounting to the offence of rape, is guilty of the offence of adultery, and shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both. In such case the wife shall not be punishable as an abettor.",Bailable,5 Years or Fine or Both,Magistrate First Class,Non-Cognizable
IPC Section 498,Enticing or taking away or detaining with a criminal intent a married woman,"Whoever takes or entices away any woman who is and whom he knows or has reason to believe to be the wife of any other man, from that man, or from any person having the care of her on behalf of that man, with intent that she may have illicit intercourse with any person, or conceals or detains with that intent any such woman, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years and Fine,Any Magistrate,Non-Cognizable
IPC Section 498A,"
Punishment for subjecting a married woman to Cruelty
If information of offence is given to SHO by aggrieved or her relative by blood, marriage or adoption, or by notified public servant
","Whoever, being the husband or the relative of the husband of a woman, subjects such woman to cruelty shall be punished with imprisonment for a term which may extend to three years and shall also be liable to fine.","
Non-Bailable
Non-Bailable
","
3 Years + Fine
3 Years + Fine
","
Magistrate First Class
Magistrate First Class
","
Non-Cognizable
Cognizable
"
